"","Var1","Freq"
"1","<U+0421><U+043B>",1
"2","0",12
"3","1",6
"4","10",1
"5","13",1
"6","14",7
"7","16",3
"8","18",1
"9","20",12
"10","21",1
"11","22",13
"12","23",1
"13","24",2
"14","26",10
"15","27",13
"16","28",30
"17","29",2
"18","30",3
"19","31",1
"20","32",4
"21","33",1
"22","34",15
"23","35",1
"24","36",11
"25","37",13
"26","38",3
"27","39",5
"28","4",9
"29","40",1
"30","41",4
"31","42",32
"32","43",3
"33","44",5
"34","45",51
"35","47",1
"36","48",1
"37","50",25
"38","52",1
"39","53",2
"40","54",3
"41","55",1
"42","56",4
"43","59",2
"44","60",1
"45","62",9
"46","63",5
"47","66",3
"48","67",3
"49","68",1
"50","69",1
"51","7",1
"52","70",6
"53","71",2
"54","72",20
"55","73",1
"56","75",1
"57","76",9
"58","77",10
"59","78",77
"60","8",5
"61","80",9
"62","81",2
"63","82",6
"64","83",4
"65","85",5
"66","87",1
"67","88",6
"68","89",3
"69","90",7
"70","91",5
"71","93",4
"72","94",5
"73","96",1
"74","97",3
"75","98",4
"76","AB",32
"77","Ac",4
"78","Ak",1
"79","AK",8
"80","Al",1
"81","AL",52
"82","Am",3
"83","An",4
"84","Ar",26
"85","AR",23
"86","At",9
"87","Au",35
"88","AZ",45
"89","Ba",1
"90","BC",9
"91","Bd",1
"92","Be",9
"93","Bl",5
"94","Bo",3
"95","Br",3
"96","Bu",2
"97","Ca",72
"98","CA",498
"99","Cd",2
"100","Ce",11
"101","Ch",25
"102","Ci",1
"103","Cl",2
"104","Co",50
"105","CO",60
"106","Có",2
"107","Cr",1
"108","CT",44
"109","Cu",3
"110","Cz",1
"111","DC",68
"112","De",13
"113","DE",23
"114","DF",1
"115","Di",6
"116","Do",4
"117","Du",7
"118","Ec",10
"119","Ed",1
"120","El",4
"121","er",6
"122","Ex",1
"123","Fa",2
"124","Fi",7
"125","FL",138
"126","Fo",1
"127","Fr",22
"128","GA",162
"129","Ge",19
"130","Gi",1
"131","Gl",4
"132","Gr",2
"133","Gt",1
"134","Gu",1
"135","H9",1
"136","Ha",1
"137","He",21
"138","Hg",1
"139","Hi",1
"140","HI",2
"141","Ho",4
"142","Hu",1
"143","IA",36
"144","Ic",1
"145","ID",9
"146","Ig",4
"147","Il",3
"148","IL",150
"149","IN",63
"150","Ir",26
"151","Is",1
"152","It",4
"153","Ja",8
"154","Je",4
"155","Ka",13
"156","Ke",2
"157","Kh",5
"158","Ki",2
"159","Ko",1
"160","KS",430
"161","Ky",1
"162","KY",57
"163","La",8
"164","LA",64
"165","Le",2
"166","Lo",8
"167","Lu",1
"168","Ma",14
"169","MA",262
"170","MB",7
"171","Mc",13
"172","MD",108
"173","Me",177
"174","ME",10
"175","Mi",25
"176","MI",86
"177","MN",59
"178","Mo",5
"179","MO",80
"180","MS",31
"181","MT",6
"182","Mu",1
"183","Na",4
"184","NC",114
"185","ND",15
"186","Ne",18
"187","NE",18
"188","NH",6
"189","Ni",2
"190","NJ",59
"191","NL",2
"192","NM",6
"193","No",30
"194","Nu",1
"195","NV",32
"196","NY",317
"197","Oa",14
"198","OH",148
"199","OK",95
"200","Ol",2
"201","ON",96
"202","Op",2
"203","OR",110
"204","Pa",13
"205","PA",123
"206","Pe",4
"207","Ph",1
"208","Po",26
"209","Pu",1
"210","Q.",1
"211","QC",12
"212","Re",26
"213","Ré",1
"214","Ri",11
"215","RI",9
"216","Sa",61
"217","Sã",1
"218","SC",52
"219","SD",12
"220","Se",45
"221","Sh",10
"222","SK",4
"223","Sl",1
"224","St",29
"225","Sw",11
"226","Ta",15
"227","Te",2
"228","Th",2
"229","TN",71
"230","To",4
"231","Tu",3
"232","TX",463
"233","Ug",2
"234","UK",138
"235","Un",1
"236","Ur",1
"237","US",321
"238","UT",23
"239","VA",95
"240","Ve",2
"241","VT",3
"242","Wa",1
"243","WA",68
"244","Wi",3
"245","WI",36
"246","Wo",1
"247","WV",59
"248","WY",8
"249","Xa",19
"250","Xi",1
"251","Zo",18
