,str_sub.addr.3...2..3.
1,MB
2,ON
3,MO
4,CA
5,US
6,Ca
7,Ca
8,Ca
9,TN
10,TX
11,NA
12,TX
13,OH
14,TX
15,NE
16,GA
17,NJ
18,TX
19,CA
20,VA
21,NY
22,MI
23,MA
24,RI
25,44
26,MD
27,FL
28,TX
29,NE
30,CA
31,DC
32,KS
33,KS
34,KS
35,CA
36,US
37,WA
38,CA
39,PA
40,MA
41,NY
42,DC
43,Ir
44,28
45,GA
46,NY
47,Cr
48,CA
49,KS
50,TX
51,KS
52,GA
53,CA
54,TX
55,TX
56,LA
57,CA
58,US
59,Mi
60,TN
61,No
62,TX
63,CO
64,Be
65,NY
66,NY
67,FL
68,FL
69,FL
70,FL
71,FL
72,TN
73,TX
74,Gl
75,US
76,OK
77,PA
78,Cl
79,OK
80,GA
81,ON
82,MA
83,OH
84,Fr
85,CA
86,CA
87,US
88,NJ
89,AB
90,AB
91,US
92,IA
93,TX
94,OH
95,CA
96,GA
97,Ca
98,Ca
99,TX
100,TX
101,TX
102,OR
103,AR
104,AR
105,MN
106,MA
107,SC
108,DC
109,FL
110,VA
111,VA
112,ON
113,PA
114,MN
115,OH
116,TX
117,GA
118,KS
119,MS
120,Ch
121,Ch
122,KS
123,IL
124,CA
125,TX
126,SC
127,CA
128,Ca
129,CA
130,OH
131,GA
132,FL
133,SC
134,IL
135,IL
136,US
137,TN
138,Ca
139,NY
140,TN
141,ON
142,TX
143,VA
144,NJ
145,Sw
146,SC
147,FL
148,OK
149,TX
150,CA
151,KY
152,CA
153,NC
154,MA
155,MA
156,OK
157,Co
158,Co
159,Co
160,IL
161,VA
162,TX
163,OK
164,TX
165,IL
166,CT
167,US
168,PA
169,US
170,IL
171,KS
172,KS
173,KS
174,US
175,TX
176,WA
177,US
178,Ir
179,NY
180,NA
181,CA
182,CA
183,MD
184,Fr
185,CA
186,US
187,Ge
188,LA
189,TX
190,Ri
191,Ri
192,Ri
193,MN
194,KS
195,CA
196,KS
197,NY
198,LA
199,TX
200,OH
201,MO
202,MI
203,MA
204,FL
205,NC
206,CA
207,ON
208,TX
209,US
210,NC
211,PA
212,NJ
213,UT
214,UT
215,KS
216,MI
217,AZ
218,CA
219,ON
220,Na
221,TX
222,CA
223,OK
224,OK
225,TN
226,US
227,Lo
228,CO
229,WA
230,MD
231,MD
232,MO
233,CA
234,GA
235,NY
236,NC
237,WA
238,US
239,KS
240,LA
241,CA
242,TX
243,TX
244,MA
245,GA
246,US
247,NC
248,Ne
249,26
250,FL
251,CA
252,Fr
253,WA
254,TX
255,FL
256,OH
257,MD
258,OH
259,FL
260,NC
261,Po
262,MA
263,St
264,CA
265,NV
266,TX
267,FL
268,MD
269,NC
270,DC
271,NC
272,KS
273,NC
274,AZ
275,US
276,US
277,US
278,US
279,CA
280,DC
281,UK
282,MI
283,US
284,90
285,TX
286,NC
287,TX
288,NV
289,TX
290,KY
291,NM
292,TX
293,MI
294,KS
295,Fa
296,PA
297,PA
298,VA
299,US
300,US
301,KS
302,NY
303,ON
304,MO
305,NY
306,ME
307,SC
308,NY
309,MA
310,OH
311,OH
312,UK
313,NA
314,LA
315,WI
316,KS
317,KS
318,PA
319,KS
320,CA
321,CA
322,US
323,KS
324,NE
325,TX
326,CO
327,MI
328,TX
329,GA
330,FL
331,MA
332,TX
333,TX
334,TX
335,TN
336,30
337,La
338,OH
339,La
340,MS
341,MS
342,MS
343,CA
344,ON
345,MN
346,MN
347,TX
348,TX
349,US
350,Am
351,MD
352,MD
353,FL
354,MS
355,NY
356,NY
357,KS
358,OK
359,IL
360,SC
361,SC
362,NV
363,Ir
364,UK
365,TX
366,TX
367,TX
368,US
369,TX
370,IN
371,TX
372,TX
373,IN
374,TX
375,NA
376,CO
377,CA
378,PA
379,AL
380,KS
381,CA
382,TX
383,CA
384,NE
385,WI
386,CA
387,28
388,OK
