"","Var1","Freq"
"1","00",9
"2","01",2
"3","04",9
"4","08",5
"5","10",1
"6","13",1
"7","14",7
"8","16",3
"9","20",10
"10","22",13
"11","23",1
"12","24",2
"13","26",9
"14","27",13
"15","28",18
"16","29",2
"17","30",1
"18","31",1
"19","32",3
"20","33",1
"21","34",15
"22","36",11
"23","37",10
"24","38",3
"25","39",5
"26","41",2
"27","42",32
"28","43",3
"29","44",4
"30","45",50
"31","47",1
"32","48",1
"33","50",24
"34","52",1
"35","53",2
"36","54",3
"37","55",1
"38","56",4
"39","59",2
"40","60",1
"41","62",8
"42","63",5
"43","66",3
"44","67",3
"45","68",1
"46","69",1
"47","70",3
"48","71",2
"49","72",19
"50","73",1
"51","75",1
"52","76",9
"53","77",10
"54","78",76
"55","80",9
"56","81",2
"57","82",6
"58","83",4
"59","85",5
"60","87",1
"61","88",5
"62","89",3
"63","90",6
"64","91",5
"65","93",4
"66","94",5
"67","96",1
"68","97",3
"69","98",4
"70","AB",20
"71","Ac",4
"72","AK",5
"73","Al",1
"74","AL",8
"75","An",4
"76","Ar",7
"77","AR",6
"78","At",4
"79","Au",12
"80","AZ",24
"81","BC",3
"82","Bd",1
"83","Be",1
"84","Bl",1
"85","Bo",2
"86","Br",2
"87","Ca",34
"88","CA",205
"89","Cd",2
"90","Ce",8
"91","Ch",14
"92","Co",32
"93","CO",26
"94","Có",1
"95","CT",32
"96","Cu",3
"97","DC",44
"98","De",9
"99","DE",15
"100","DF",1
"101","Di",6
"102","Do",4
"103","Du",7
"104","Ec",9
"105","Ed",1
"106","El",4
"107","er",6
"108","Fa",1
"109","Fi",4
"110","FL",40
"111","Fo",1
"112","Fr",6
"113","GA",56
"114","Ge",5
"115","Gl",1
"116","Gt",1
"117","Gu",1
"118","H9",1
"119","He",20
"120","Hg",1
"121","HI",1
"122","Ho",3
"123","Hu",1
"124","IA",30
"125","Ic",1
"126","ID",4
"127","Ig",4
"128","Il",2
"129","IL",71
"130","IN",33
"131","Ir",17
"132","Is",1
"133","It",3
"134","Ja",6
"135","Ka",2
"136","Kh",1
"137","KS",245
"138","Ky",1
"139","KY",33
"140","La",3
"141","LA",9
"142","Le",1
"143","Lo",5
"144","Lu",1
"145","Ma",2
"146","MA",215
"147","MB",3
"148","Mc",6
"149","MD",48
"150","Me",169
"151","ME",4
"152","Mi",18
"153","MI",46
"154","MN",37
"155","Mo",3
"156","MO",41
"157","MS",4
"158","MT",4
"159","NC",43
"160","ND",13
"161","Ne",11
"162","NE",12
"163","NH",2
"164","NJ",33
"165","NL",1
"166","NM",3
"167","No",7
"168","Nu",1
"169","NV",12
"170","NY",133
"171","Oa",14
"172","OH",80
"173","OK",33
"174","Ol",2
"175","ON",49
"176","Op",1
"177","OR",71
"178","Pa",6
"179","PA",50
"180","Pe",4
"181","Po",4
"182","Pu",1
"183","Q.",1
"184","QC",7
"185","Re",23
"186","Ré",1
"187","Ri",2
"188","RI",4
"189","Sa",59
"190","Sã",1
"191","SC",15
"192","SD",7
"193","Se",24
"194","SK",3
"195","Sl",1
"196","St",19
"197","Sw",4
"198","Ta",9
"199","Th",2
"200","TN",24
"201","Tu",1
"202","TX",110
"203","Ug",2
"204","UK",40
"205","US",141
"206","UT",13
"207","VA",44
"208","Ve",2
"209","VT",1
"210","WA",29
"211","Wi",1
"212","WI",23
"213","Wo",1
"214","WV",49
"215","WY",4
"216","Xa",19
"217","Zo",16
