"","str_sub.addr.3...2..3."
"1","Me"
"2","US"
"3","Co"
"4",NA
"5","ND"
"6","CA"
"7","CA"
"8","CA"
"9",NA
"10",NA
"11",NA
"12",NA
"13","Mi"
"14","34"
"15","Ir"
"16","Ir"
"17","DE"
"18","22"
"19","22"
"20","US"
"21","US"
"22","KS"
"23","CT"
"24","CA"
"25","US"
"26","MD"
"27","NE"
"28","OR"
"29","OR"
"30","OR"
"31","OR"
"32","OR"
"33","OR"
"34","OR"
"35","CA"
"36","NC"
"37","NC"
"38","NC"
"39","NC"
"40","NC"
"41","NC"
"42","NC"
"43","NC"
"44","NC"
"45","MD"
"46","CA"
"47","CA"
"48","DC"
"49","NY"
"50","KS"
"51","45"
"52","45"
"53","45"
"54","45"
"55","45"
"56","45"
"57","45"
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65","FL"
"66","OH"
"67","OH"
"68","OH"
"69","OH"
"70","22"
"71","LA"
"72","72"
"73","72"
"74","Sa"
"75","DC"
"76","Me"
"77","Me"
"78","Me"
"79","Me"
"80","Me"
"81","Oa"
"82","Ge"
"83","AR"
"84",NA
"85","WV"
"86","WV"
"87","WV"
"88","WV"
"89","WV"
"90","WV"
"91","WV"
"92","WV"
"93","WV"
"94","WV"
"95","WV"
"96","WV"
"97","WV"
"98","WV"
"99","WV"
"100","WV"
"101","WV"
"102","WV"
"103","WV"
"104","WV"
"105","WV"
"106","WV"
"107","WV"
"108","WV"
"109","WV"
"110","WV"
"111","WV"
"112","WV"
"113","WV"
"114","WV"
"115","WV"
"116","WV"
"117","WV"
"118","WV"
"119","WV"
"120","WV"
"121","WV"
"122","WV"
"123","WV"
"124","WV"
"125","WV"
"126","WV"
"127","KS"
"128","WI"
"129","WI"
"130","WI"
"131","IL"
"132","38"
"133","TX"
"134","NY"
"135","Ne"
"136","CT"
"137","CT"
"138","CT"
"139",NA
"140","Ca"
"141","NY"
"142","No"
"143","No"
"144","No"
"145","No"
"146","WI"
"147","MA"
"148","Oa"
"149","IL"
"150","MI"
"151","MI"
"152","ON"
"153","QC"
"154","er"
"155","MS"
"156",NA
"157","Co"
"158","DC"
"159","DC"
"160","MA"
"161","PA"
"162","VA"
"163","Lo"
"164","Lo"
"165","Lo"
"166","FL"
"167","Ta"
"168","CA"
"169","No"
"170","VA"
"171","MA"
"172","VA"
"173","VA"
"174","DC"
"175","er"
"176","er"
"177",NA
"178",NA
"179","MI"
"180","Sw"
"181","UK"
"182","UK"
"183","UK"
"184","DC"
"185","DC"
"186","MA"
"187","MA"
"188",NA
"189","NY"
"190","TX"
"191","MA"
"192","22"
"193","UT"
"194","UT"
"195","FL"
"196","Me"
"197","Me"
